Hoofdcategorie;Subcategorie;omschr_opleidingshoofdcategorie_nl;omschr_opleidingssubcategorie_nl;benaming
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Industrial engineering
2;23;kunst en menswetenschappen;talen;Engels
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Contrôle par ultrasons - niveau 1
9;91;welzijn en gezondheid;gezondheid;Bachelor na bachelor in de creatieve therapie (schijf 2) 
4;41;handel, administratie en recht;handel en administratie;Trendwatcher
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);Informatica Informatique Internet
2;23;kunst en menswetenschappen;talen;Allemand faux-débutant
5;53;natuurwetenschappen, wiskunde en statistiek;fysische wetenschappen;Basiscursus fysica, warmteleer, elektromechanica
7;70;techniek, fabricage en constructie;techniek, fabricage en constructie;OPLEIDING WERKVOORBEREIDER MONTAGE
9;91;welzijn en gezondheid;gezondheid;Formation d'assistant dentaire
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Win CC flexible
10;104;diensten;transportdiensten;Werken met minigraafmachines - gevorderden 2d
7;72;techniek, fabricage en constructie;fabricage en verwerking;Voedingsspecifiek Specifique alimentaire Découpeur-désosseur Porcin
1;11;onderwijs;onderwijs;Formation professionnelle
10;104;diensten;transportdiensten;Heftruck - Hoogwerker
0;3;algemene programma's en kwalificaties;persoonlijke vaardigheden en ontwikkeling;Situational Leadership
7;70;techniek, fabricage en constructie;techniek, fabricage en constructie;OTJ PULTMAN
8;84;land- en bosbouw, visserij en dierengeneeskunde;dierengeneeskunde;paardenziekten en medicijnen 1d
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);CL 0315 - Networking with Windows Server 2016
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Onderhoud van tractoren 1d
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Solidworks
10;100;diensten;diensten;Beroepsopleiding dienstverleners 2016-2017
7;73;techniek, fabricage en constructie;architectuur en constructie;Aanleggen van natuursteen en grote tuintegels 1 volledige dag
4;41;handel, administratie en recht;handel en administratie;Business Administration
7;71;techniek, fabricage en constructie;techniek en technische beroepen;FLEX RAY
4;41;handel, administratie en recht;handel en administratie;Het automatisch beheer vna bestellingen
9;91;welzijn en gezondheid;gezondheid;Bachelor na bachelor (BANABA)Oncologie + navorming oncologie
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Onderhoud van tractoren 1 volledige dag
9;91;welzijn en gezondheid;gezondheid;Deskundigheidsmodule dementie, Oostende
10;104;diensten;transportdiensten;Nascholing vakbekwaamheid voor vrachtwagenbestuurders
7;72;techniek, fabricage en constructie;fabricage en verwerking;Offsetdrukker
7;72;techniek, fabricage en constructie;fabricage en verwerking;Voedingsspecifiek Specifique alimentaire Labo Bierbrouwen en controle Basisbieren
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);Blender - Approfondissement
2;22;kunst en menswetenschappen;menswetenschappen behalve talen;Schakelprogramma: wereldgodsdiensten, interreligieuze dialoog en religiestudie: optie islamitische theologie en godsdienstwetenschappen
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Sergeant - PREV 1 (brandpreventie in gebouwen)
9;92;welzijn en gezondheid;welzijn;formation pour le secteur de l'acceil et de l'hébergement pour personnes agées
7;72;techniek, fabricage en constructie;fabricage en verwerking;Voedingsspecifiek Specifique alimentaire Basisopleiding medewerker vleessector
2;22;kunst en menswetenschappen;menswetenschappen behalve talen;Kerkelijk recht (Iuris Canonici Licentiatus)
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Onderhoud van verreiker 1 volledige dag
7;70;techniek, fabricage en constructie;techniek, fabricage en constructie;OTJ PUNCH (Z-4767)
9;92;welzijn en gezondheid;welzijn;Bachelor in de pediatrische gezondheidszorg
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Norme EN1090
7;71;techniek, fabricage en constructie;techniek en technische beroepen;BA5 et manoeuvre haute tension
9;91;welzijn en gezondheid;gezondheid;Bachelor verpleegkunde - Brugopleiding A2-A1 geriatrische / ziekenhuis / psychiatrische verpleegkunde 90 studiepunten
9;91;welzijn en gezondheid;gezondheid;Flanders international college of osteopathy vzw
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Conventionele verpakkingstechnieken (draaien, frezen, boren)
2;21;kunst en menswetenschappen;kunst;Bouwer van akoestische nylongitaren
4;41;handel, administratie en recht;handel en administratie;Comptes annuels et entreprise - Prévention et Bien-être - Expression et communication - Revenus et fiscalité
9;91;welzijn en gezondheid;gezondheid;Formation Infirmiers d'Accueil et d'Orientation - Accueil, évaluation et orientations des patients
7;72;techniek, fabricage en constructie;fabricage en verwerking;Controleur/losser R en BB T/P/VCE (120u)
10;101;diensten;persoonlijke diensten;Masseur
7;71;techniek, fabricage en constructie;techniek en technische beroepen;VCE ompak (80u)
7;71;techniek, fabricage en constructie;techniek en technische beroepen;TECHNIQUE - Statique, dynamique, cinématique
7;71;techniek, fabricage en constructie;techniek en technische beroepen;VMWare Fast Track
1;11;onderwijs;onderwijs;Edicateur en diabétologie
10;104;diensten;transportdiensten;Airport Management
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Programmation d'une poinçonneuse CNC
9;98;welzijn en gezondheid;interdisciplinaire programma's en kwalificaties m.b.t. welzijn en gezondheid;Année de spécialisation interdisciplinaire en gériatrie et psycho-gériatrie
4;41;handel, administratie en recht;handel en administratie;QUALITE - Démarche environnementale
4;41;handel, administratie en recht;handel en administratie;Logistiek Logistique Chauffeurs de distribution de produits alimentaires
3;31;sociale wetenschappen, journalistiek en informatie;sociale en gedragswetenschappen;17- '18 Socio economische actualiteit in de bouwsector – 2 groepen
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Conseiller à la sécurité
3;31;sociale wetenschappen, journalistiek en informatie;sociale en gedragswetenschappen;Postgraduaat ‘Psychotherapie jeugd en context’ – 2de cyclus – 3de jaar
9;91;welzijn en gezondheid;gezondheid;Posthogeschoolvorming palliatieve zorgen : verdiepingsmodule
0;3;algemene programma's en kwalificaties;persoonlijke vaardigheden en ontwikkeling;Probleemoplossend denken
8;81;land- en bosbouw, visserij en dierengeneeskunde;landbouw;Tuinontwerper
7;72;techniek, fabricage en constructie;fabricage en verwerking;Voedingsspecifiek Specifique alimentaire Vlees: Varia: Verpakking
4;41;handel, administratie en recht;handel en administratie;Taks en accountancy management
0;3;algemene programma's en kwalificaties;persoonlijke vaardigheden en ontwikkeling;7c leadership training
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Elektromechanica
8;81;land- en bosbouw, visserij en dierengeneeskunde;landbouw;Teeltmedewerker in de sierteelt : keuze uit azaleateelt, jongplantbedrijven, perkplanten en buitenteelten 1 volledige dag
9;91;welzijn en gezondheid;gezondheid;prof. Bachelof in de verpleegkunde via Route 33 voorbereidende module                     Prof. Bachelor in de verpleegkunde via Route 33 opleidingsfase 1                                           Prof. Bachelor in de verpleegkunde via Route 33 opleidings
9;91;welzijn en gezondheid;gezondheid;Neurovasculaire zorg
10;104;diensten;transportdiensten;Trucks binning (120u)
7;71;techniek, fabricage en constructie;techniek en technische beroepen;SolidWorks module 1
9;92;welzijn en gezondheid;welzijn;Ouderschapsreorganisatie
10;104;diensten;transportdiensten;Aptitude Professionnel et formation continue des conducteurs de véhicules des catégories C, C + E, D + E et des sous-catégories C1, C1 + E, D1, D1 + E
7;72;techniek, fabricage en constructie;fabricage en verwerking;Voedingsspecifiek Specifique alimentaire Sauces et émulsions: Fabrication, formulation et stabilisation 
9;92;welzijn en gezondheid;welzijn;Bachelor-na-bachelor in de oncologie
10;104;diensten;transportdiensten;5-daagse Heftruck - Training Solutions
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Simatic
9;91;welzijn en gezondheid;gezondheid;4-daagse permanente vorming nutritie
7;73;techniek, fabricage en constructie;architectuur en constructie;Bouw, aanleg en onderhoud
9;92;welzijn en gezondheid;welzijn;Welzijn van werknemers met of zonder werk -1
2;21;kunst en menswetenschappen;kunst;DJ en producer
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);Sketchup - Approfondissement
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Electricité véhicules industriels 2
4;41;handel, administratie en recht;handel en administratie;Logistiek management
7;70;techniek, fabricage en constructie;techniek, fabricage en constructie;Outilleur-Ajusteur - Tournage conventionnel
4;41;handel, administratie en recht;handel en administratie;GESTION ET COMMUNICATION - Management
2;23;kunst en menswetenschappen;talen;Culturele studies
2;22;kunst en menswetenschappen;menswetenschappen behalve talen;Kerkelijk recht
3;31;sociale wetenschappen, journalistiek en informatie;sociale en gedragswetenschappen;Vergelijkende en internationale politiek
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Arbeidswelzijn Bien-être au travail Beleidsmodule over het gebruik en problematisch gebruik van alcohol en drugs op het werk
9;91;welzijn en gezondheid;gezondheid;Centrale Basiscursus palliatieve zorg voorjaar 2015 Diksmuide
4;41;handel, administratie en recht;handel en administratie;Algemene gecentraliseerde vorming 'Ondernemingsraad 1'
7;72;techniek, fabricage en constructie;fabricage en verwerking;Voedingsspecifiek Specifique alimentaire Mesure de PH et Oxygène Dissous
10;104;diensten;transportdiensten;Opleiding brevet IV (motorfiets)
7;72;techniek, fabricage en constructie;fabricage en verwerking;Voedingsspecifiek Specifique alimentaire Fabrication de divers amuse-bouches en pâte feuilletée avec incorporation d’épices 
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);Lotus onder windows (basis)
4;41;handel, administratie en recht;handel en administratie;Vastgoedpromotor
1;11;onderwijs;onderwijs;Schakelprogramma: master educatieve studies
2;23;kunst en menswetenschappen;talen;Talen  Langues Nederlands
7;71;techniek, fabricage en constructie;techniek en technische beroepen;CNC - opleiding VDAB
7;72;techniek, fabricage en constructie;fabricage en verwerking;Industriële houten constructies
7;73;techniek, fabricage en constructie;architectuur en constructie;Schrijnwerker
4;41;handel, administratie en recht;handel en administratie;Méthode Scrum
9;91;welzijn en gezondheid;gezondheid;Banaba in de intensieve zorg en spoedgevallenzorg
9;91;welzijn en gezondheid;gezondheid;BaNaBa (bachelor na bachelor) in de intensieve zorg en spoedgevallenzorg
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Formation de base pour personnel d'exécution des entrprises de gardiennage
4;41;handel, administratie en recht;handel en administratie;Opleiding management systemen (ISO).
8;81;land- en bosbouw, visserij en dierengeneeskunde;landbouw;Melktechnieken bij rundvee
5;52;natuurwetenschappen, wiskunde en statistiek;milieu;Bachelor Agro en Biotechnologie afstudeerrichtingen groenmanagement via afstandsonderwijs
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Basismodule Stralingprotectie
9;92;welzijn en gezondheid;welzijn;Postgraduaat Fertiliteitscounsellor
9;91;welzijn en gezondheid;gezondheid;I.S.C.O.
7;70;techniek, fabricage en constructie;techniek, fabricage en constructie;OTJ OPLEIDING PUNCH ZACHTE LIJN (Z/4814)
4;49;handel, administratie en recht;andere handel, administratie en recht;coaching scolaire
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Formation technique en énergie et fluides
5;53;natuurwetenschappen, wiskunde en statistiek;fysische wetenschappen;Topograaf
4;41;handel, administratie en recht;handel en administratie;PAXISKOLLEG FÜR IM TARIF
9;91;welzijn en gezondheid;gezondheid;Postgraduaat verpleegkundige in de wondzorg, de stomatherapie en het weefselherstel
7;70;techniek, fabricage en constructie;techniek, fabricage en constructie;Productieoperatoren op maat (5 daagse)
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Automates programmables siemens S7
9;91;welzijn en gezondheid;gezondheid;Spécialisation en pediatrie et néonatologie
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Diagnostic de pannes sur installations de chauffage fuel/gaz
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);Linux
9;91;welzijn en gezondheid;gezondheid;Basisvorming polyvalent verzorgende te Zellik
4;41;handel, administratie en recht;handel en administratie;Initiation à la bureautique : tous les concepts
9;91;welzijn en gezondheid;gezondheid;Verkort traject verpleegkunde voor O G-verpleegkundigen
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Energietechnologie
8;82;land- en bosbouw, visserij en dierengeneeskunde;bosbouw;Vellen van bomen 2 volledige dagen
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Omgangskunde voor onthaalpersoneel
1;11;onderwijs;onderwijs;Le conflit: une opportunité de progression dans la relation professionelle et/ou pédagogique
4;42;handel, administratie en recht;recht;Contextueel werken in functie van familiale bemiddeling
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);Autocad 23 : Bases
7;71;techniek, fabricage en constructie;techniek en technische beroepen;A04 Bediener bandschuurmachine
7;73;techniek, fabricage en constructie;architectuur en constructie;Ijzervlechten
4;41;handel, administratie en recht;handel en administratie;BASISVEILIGHEID EN BEDRIJFSPROCESSEN
7;70;techniek, fabricage en constructie;techniek, fabricage en constructie;Methodes de conception
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Siemens S7- 1500 Tia Portal onderhoudstechniekers gevorderden
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Technisch Nederlands, Veiligheidsinstructies en Veiligheid grondwerken
4;40;handel, administratie en recht;handel, administratie en recht;Opleidingstraject nieuwe basismedewerkers, provincie West-Vlaanderen
8;81;land- en bosbouw, visserij en dierengeneeskunde;landbouw;Lei- en klimplanten
9;91;welzijn en gezondheid;gezondheid;Bobath-opleiding
8;81;land- en bosbouw, visserij en dierengeneeskunde;landbouw;Herborist
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Postgraduaat Rampenmanagement
4;41;handel, administratie en recht;handel en administratie;Méthodologies en conduite de projets
10;104;diensten;transportdiensten;TCVT W4-04 MACHINIST AUTOLAADKRAAN MET HIJSFUNCTIE
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Basisopleiding preventieadviseur
3;31;sociale wetenschappen, journalistiek en informatie;sociale en gedragswetenschappen;Postgraduaat in de gedragstherapie (volwassenen)
3;31;sociale wetenschappen, journalistiek en informatie;sociale en gedragswetenschappen;Formation continue en santé mentale et psychiatrie : Module de formation panaché - Communication- (32h) au choix
4;41;handel, administratie en recht;handel en administratie;Management van een woonzorgcentrum: praktijkopleiding
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Part-66 : Module 15 - Turbine à gaz
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Techniek en onderhoud Technique et maintenance EPLAN
4;41;handel, administratie en recht;handel en administratie;ISOPAS kwaliteitsbewaking
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Arbeidswelzijn Bien-être au travail Analyse de risques / Risicoanalyse
9;91;welzijn en gezondheid;gezondheid;Banaba in de oncologische zorg
2;21;kunst en menswetenschappen;kunst;Multimedia realisator
7;70;techniek, fabricage en constructie;techniek, fabricage en constructie;Onderhoudsmedewerker - Alural Belgium
8;82;land- en bosbouw, visserij en dierengeneeskunde;bosbouw;Boomkwekerij
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Veiligheid in het WZC
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Robot kuka exploitation
7;70;techniek, fabricage en constructie;techniek, fabricage en constructie;Product Configirator Traject
7;72;techniek, fabricage en constructie;fabricage en verwerking;Werken met rubber en kunststoffen 1 volledige dag
4;42;handel, administratie en recht;recht;Basiscursus Bemiddeling en Mediation
9;92;welzijn en gezondheid;welzijn;Postgraduaat mindfullness. Toepassing in de gezondheidszorg en de welzijnssector (1e jaar van een tweejarige opleiding)
7;72;techniek, fabricage en constructie;fabricage en verwerking;Voedingsspecifiek Specifique alimentaire Theoretische en praktische benadering van de tarwevermaling 
7;70;techniek, fabricage en constructie;techniek, fabricage en constructie;PRODUCTIECONTROLEUR
4;41;handel, administratie en recht;handel en administratie;Leidinggeven en communicatie (nieuw traject volgens HILL)
8;81;land- en bosbouw, visserij en dierengeneeskunde;landbouw;Hydraulica op land-en tuinbouwmachines
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Ingenieurswetenschappen: fotonica
7;71;techniek, fabricage en constructie;techniek en technische beroepen;TELECOM - Technicien câbleur et installateur en télématique
4;41;handel, administratie en recht;handel en administratie;Administration Windows Server 2012 ET R2
4;41;handel, administratie en recht;handel en administratie;Notarieel medewerker
7;72;techniek, fabricage en constructie;fabricage en verwerking;Voedingsspecifiek Specifique alimentaire Kunststof / Basis grondstoffentechnologie
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Certificat interuniversitaire en animation de dispositifs d'analyse des pratiques professionnelles
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);AUDOCAD BASIS
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Onderhoud van 2-taktmotoren - basis
7;72;techniek, fabricage en constructie;fabricage en verwerking;Voedingsspecifiek Specifique alimentaire Vlees: Productie: Thermische aspecten koelen en verhitten vlees en vleeswaren
8;83;land- en bosbouw, visserij en dierengeneeskunde;visserij;Varkensziekten en medicijnen
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Automates : exploitation-maintenance niveau 3
7;72;techniek, fabricage en constructie;fabricage en verwerking;Voedingsspecifiek Specifique alimentaire Boulangerie-pâtisserie: Fabrication de divers amuse-bouches en pâte feuilletée avec incorporation d’épices 
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Technische basiscursus voor productie-arbeiders
9;91;welzijn en gezondheid;gezondheid;Vermaatschappelijking van de geestelijke gezondheidszorg : de bewustwording van de thuisverpleegkundige
7;70;techniek, fabricage en constructie;techniek, fabricage en constructie;MTM-UAS Training
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Lassen im VDAB
9;92;welzijn en gezondheid;welzijn;Beroepsopleiding Maatschappelijk werk 2017-2018
4;41;handel, administratie en recht;handel en administratie;Vervolmakingscursus arktos medewerker - Verbindend werken
4;41;handel, administratie en recht;handel en administratie;Formation certifiante de Responsable d'audit qualité ISO 9001 : 2015, enregistrée IRCA
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Beroepsopleiding technieken inzake verwarming met stookolie
7;73;techniek, fabricage en constructie;architectuur en constructie;Aannemer metsel- en betonwerken
9;92;welzijn en gezondheid;welzijn;Postgraduaat Mindfulness. Toepassingen in de gezondheidszorg en de welzijnssector (2de jaar van een tweejarige opleiding)
2;23;kunst en menswetenschappen;talen;Engels - Opstap talen
9;91;welzijn en gezondheid;gezondheid;Centrale basiscursus palliatieve zorg voorjaar 2017 Diksmuide
9;91;welzijn en gezondheid;gezondheid;Basisopleiding: professionele bachelor in de vroedkunde
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Cellenbeton - silicaatsteen
9;98;welzijn en gezondheid;interdisciplinaire programma's en kwalificaties m.b.t. welzijn en gezondheid;Multidisciplinaire revalidatie
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Postgraduaat bio-ecologisch bouwen en wonen
2;23;kunst en menswetenschappen;talen;Initiation à la langue des signes
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Part-66 : Module 01 - Mathématiques
7;73;techniek, fabricage en constructie;architectuur en constructie;Maquettebouw basis
7;72;techniek, fabricage en constructie;fabricage en verwerking;Hout(skelet)bouwelemeneten plaatsen
7;71;techniek, fabricage en constructie;techniek en technische beroepen;MIG/MAG-lasser
9;91;welzijn en gezondheid;gezondheid;Verkort traject Bachelor in de vroedkunde
1;11;onderwijs;onderwijs;Educatieve studies
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Bediener vierzijdige schaaf- en freesmachine
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Hoeklasser
9;91;welzijn en gezondheid;gezondheid;Master in de verpleegkunde en de vroedkunde
7;72;techniek, fabricage en constructie;fabricage en verwerking;Voedingsspecifiek Specifique alimentaire Pesage et métrologie
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);Android - Développement
9;91;welzijn en gezondheid;gezondheid;Permanente vorming Sociale en Geestelijke gezondheidszorg. Module 1: verslavingszorg, who cares ?
1;11;onderwijs;onderwijs;Postgraduaat adventure education, ervaringsleren en buitenactiviteiten
9;92;welzijn en gezondheid;welzijn;Beroepsopleiding consulenten 2016-2017 (modulair systeem)
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Mechanisch onderhoud basis
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);Android - Niveau 2
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Bio-ingenieurswetenschappen: cel- en genbiotechnologie
1;11;onderwijs;onderwijs;Train the trainer 2d
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Certificat en radioprotection
7;71;techniek, fabricage en constructie;techniek en technische beroepen;CNC tournage / fraisage
7;71;techniek, fabricage en constructie;techniek en technische beroepen;AUTOMOBIEL ASSEMBLAGE - 108 u
4;41;handel, administratie en recht;handel en administratie;Logistiek Logistique Efficiënt en kostenbewust transport organiseren
9;92;welzijn en gezondheid;welzijn;Certificat donnant lieu au titre de Personne de reference pour la démence
0;3;algemene programma's en kwalificaties;persoonlijke vaardigheden en ontwikkeling;Terugkomdag leidinggevenden 1 volledige dag 
7;72;techniek, fabricage en constructie;fabricage en verwerking;Workshops nieuwe technologie
5;51;natuurwetenschappen, wiskunde en statistiek;biologische wetenschappen en aanverwanten;Biotechnologie
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);opleiding tot ICT4care medewerker (2016-2018) (Informatiesysteemverpleekundige)
9;91;welzijn en gezondheid;gezondheid;Certificat interuniversitaire en étique des soins de santé (CUESS)
10;104;diensten;transportdiensten;Code 95, nascholing voor vrachtwagenchauffeurs
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Instrumentation industrielle : perfectionnement
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Schakelprogramma: master veiligheidswetenschappen
0;3;algemene programma's en kwalificaties;persoonlijke vaardigheden en ontwikkeling;Algemene Vaardigheden Compétences génerales Interpersoonlijke communicatie
8;82;land- en bosbouw, visserij en dierengeneeskunde;bosbouw;Gebruik van bestrijdingsmiddelen en meststoffen in de boomkwekerij 1 volledige dag
0;3;algemene programma's en kwalificaties;persoonlijke vaardigheden en ontwikkeling;The Foundation for Leading People Advanced
9;91;welzijn en gezondheid;gezondheid;Diabeteszorg verdiepingsmodule
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Programmation CNC - Siemens 820 Fraisage
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);Unix-Linux-Aix
4;41;handel, administratie en recht;handel en administratie;Het automatisch beheren van bestellingen 
9;91;welzijn en gezondheid;gezondheid;Opleiding referente palliatieve zorg
4;41;handel, administratie en recht;handel en administratie;VERZENDADMINISTRATIE
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Mesure tridemensionnelle
9;91;welzijn en gezondheid;gezondheid;Nutritie  Nutrition Développer des aliments à destination des seniors
4;41;handel, administratie en recht;handel en administratie;Aanvulling tot coördinator
9;91;welzijn en gezondheid;gezondheid;permanenete vorming Geestelijke Gezondheid bij mensen met verstandelijke handicap en/of autisme
4;41;handel, administratie en recht;handel en administratie;Disablity management
7;70;techniek, fabricage en constructie;techniek, fabricage en constructie;Materialenleer
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Couper des tissus tissés à plat (manuelle et semi-automatique)
4;41;handel, administratie en recht;handel en administratie;Initiation aux Controles Non Destructifs
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Lecture de plans
10;104;diensten;transportdiensten;Logistiek Logistique Heftruckchauffeur basisopleiding
2;23;kunst en menswetenschappen;talen;Nederlands tweede taal - richtgraad 4
4;41;handel, administratie en recht;handel en administratie;Six Sigma Green Belt met integratie van Minitab
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);IT Medewerker (Bedrijfsinterne opleiding bij Alro Holdings NV)
7;72;techniek, fabricage en constructie;fabricage en verwerking;Polyesterbewerker
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Sensibilisation à la sécurité et plan d'action
10;104;diensten;transportdiensten;Nascholing vakbekwaamheid voor beroepschauffeurs
4;41;handel, administratie en recht;handel en administratie;ISOPASS
4;41;handel, administratie en recht;handel en administratie;Business Management
0;3;algemene programma's en kwalificaties;persoonlijke vaardigheden en ontwikkeling;Korte module basisopleiding communicatie en leidinggeven voor eerstelijnsverantwoordelijken
7;73;techniek, fabricage en constructie;architectuur en constructie;Pool Box 2 (120 u)
7;72;techniek, fabricage en constructie;fabricage en verwerking;M44 Kopieerdraaibank
9;92;welzijn en gezondheid;welzijn;Verkorte studieroute bachelor sociaal werk
4;41;handel, administratie en recht;handel en administratie;Commerciële en financiële vaardigheden Aptitudes commerciales et financières Marketing
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Verspaningstechnologie : CNC frezen, opspantechnieken, snijgereedschappen
7;71;techniek, fabricage en constructie;techniek en technische beroepen;OPERATOR CALP - 120 u
0;3;algemene programma's en kwalificaties;persoonlijke vaardigheden en ontwikkeling;Terugkomdag voor leidinggevenden 1d
8;81;land- en bosbouw, visserij en dierengeneeskunde;landbouw;Kwaliteitsnormen in de boomkwekerij 1d
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Variateurs de fréquence : fonctionnement et paramétrisation
9;91;welzijn en gezondheid;gezondheid;Pour une amélioration de la qualité de vie du beneficiaire : formation du personnel infirmier referent en nutrition
10;104;diensten;transportdiensten;Minigravers (basis) 3d
7;72;techniek, fabricage en constructie;fabricage en verwerking;Manueel boekbinder
7;73;techniek, fabricage en constructie;architectuur en constructie;Stukadoors
9;91;welzijn en gezondheid;gezondheid;Acupuntuuropleiding
7;72;techniek, fabricage en constructie;fabricage en verwerking;CNC - Houtbewerking
9;98;welzijn en gezondheid;interdisciplinaire programma's en kwalificaties m.b.t. welzijn en gezondheid;Posthogeschoolvorming Interdisplinaire chronische zorg voor het kind
7;72;techniek, fabricage en constructie;fabricage en verwerking;Voedingsspecifiek Specifique alimentaire Boulangerie-pâtissierie: Les viennoiseries: entre tradition et modernisme!
9;91;welzijn en gezondheid;gezondheid;Seksuologische hulpverlening
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Utilisation rationnelle de l'énergie dans les réseaux de l'air comprimé
7;71;techniek, fabricage en constructie;techniek en technische beroepen;IOS - Niveau 1
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Phoenix Contact PLC
7;70;techniek, fabricage en constructie;techniek, fabricage en constructie;Méthodes pour techniciens de production
7;72;techniek, fabricage en constructie;fabricage en verwerking;Subsector Subsectorielles Choprabisco
7;71;techniek, fabricage en constructie;techniek en technische beroepen;SIEMENS: Simodrive 611 U
7;71;techniek, fabricage en constructie;techniek en technische beroepen;H06 Opérateur de déligneuse (Scierie résineux)
9;91;welzijn en gezondheid;gezondheid;Neurologische taal- en spraakstoornissen 
0;1;algemene programma's en kwalificaties;basisprogramma's en -kwalificaties;Limburg: Basisvorming module 4 (2 groepen)
7;70;techniek, fabricage en constructie;techniek, fabricage en constructie;Module: bediener/insteller automatisch platenmagazijn
10;104;diensten;transportdiensten;nascholing chauffeurs 
8;82;land- en bosbouw, visserij en dierengeneeskunde;bosbouw;H22 - werken op hoogte (bosbouw)
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);ICT in een Creatieve Context
10;101;diensten;persoonlijke diensten;aanvullingstraject (90 studiepunten op 2.5jaar) bachelor orthopedagie voor houders van een HBO5 diploma dat 1440 lestijden omvat
4;41;handel, administratie en recht;handel en administratie;QUALITE - SPC
9;91;welzijn en gezondheid;gezondheid;Beroepsopleiding Module tot Zorgkundige
